Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Soph. Trach. 143,δ',τ',P. P. Dobree,n.d.,Harl. 5743,
Soph. Trach. 159,οὕπω/οὔπω,οὕτω,Tournier,n.d.,Harl. 5743,
Soph. Trach. 187,λέγ-,ἔχεις,Frederick H. M. Blaydes,n.d.,Palat. gr. 287 (Zo),
Soph. Trach. 267,φώνει,φωνεῖ,Hermann Köchly,1842,Palat. gr. 287,ZA 9 (1842) 787
Soph. Trach. 286,δέ,τε,Turnebus,n.d.,P.Amh. inv. 68 s.l.,
Soph. Trach. 316,τῶν,του,P. P. Dobree,n.d.,Zgt,
Soph. Trach. 326,-ρόει,δακρυρροεῖ,Markland,s.xviii med.,Laur. 31.10 (K),
Soph. Trach. 328,αὐτῇ,αὐτή,Markland,s.xviii med.,Laur. 31.10 (K) et Laur. 32.2 (Zg),
Soph. Trach. 579,-ει(σ)μένον,ἐγκεκλῃμενον,Dindorf,n.d.,Oxy. XV 1805,
Soph. Trach. 747,καὶ,κοὐ,Markland,s.xviii med.,Laur. 32.2 (Zg),
Soph. Trach. 747,καὶ,κοὐ,Valckenaer,pre-1775,Laur. 32.2 (Zg),
Soph. Trach. 772,βόησε,’βόησε,Brunck,1786,Harl. 5743,
Soph. Trach. 825,ἀναδοχάν,ἀνακωχάν,Valckenaer,1743–6,Laur. 32.2 (Zg),ἀνοκωχάν Zg
Soph. Trach. 902,ἄψορρον,-ος,Frederick H. M. Blaydes,n.d.,Palat. gr. 287 (Zo),
Soph. Trach. 951,μέλλ-,μένομεν,Erfurdt,n.d.,rec. (Dawe),
Soph. Trach. 977,γέρων,γέρον,Markland,s.xviii med.,a,
Soph. Trach. 1082,ἔθαλψεν,ἔθαλψέ μ ̓,Hermann,n.d.,Laur. 31.10 (K),
Soph. Trach. 1123,ἐστιν,ἔστ ̓ ἐν,Frederick H. M. Blaydes,n.d.,Harl. 5743,
Soph. Trach. 1136,μνωμένη,μωμένη,Benjamin Heath,1762,P.Oxy. XV 1805 et Laur. 31.10 (K),μωμ[
Soph. fr. 240,τὰ δ᾽ ὅσα,τάδε σε,Bergk,1859,Anon. Ambros. de re metr. 2.12,
Soph. fr. 265,ἀντεροῦσ-,ἀνταίρουσιν,Isaac Vossius,s.xvii,Cyrill.,apud Alberti
Soph. fr. 294,ἐπισχολάζεται,κοὐκ ἔτι σχολάζεται,Meineke,n.d.,P.Oxy. IX 1174,
Soph. fr. 330,-ὴν -ην/-ὴ -η,λευκῇ στάθμῃ,T. G. Tucker,1904,Sud. A (F),CR 18 (1904) 245
Soph. fr. 339,ἢ,ἦ,Gaisford,1826,Phot. α 1990,Sophoclis tragoediae septem p. 40
Soph. fr. 481,δρώπα/δρωπτά,δρωπά,J. A. H. Tittmann,1808,Suid. δ 1538,T. apud Zonar.
Soph. fr. 591,ἐν φύλων,ἕν φῦλον,Bergk,1836,Favorin. Π φυγῆς,ZfA 3 (1836) 78
Soph. fr. 635,σακκο-,σακοδερμηστής,Jacobus Palmerius,1668,Synag. Phot.,ap. Hsch. σ 76
Soph. fr. 871,εὐγενεστ-,εὐπρεπεστάτη,Ritschl,1829,Plu. 5.517D,
Soph. fr. 945.1,-πώρων,ταλαίπωρον,Conrad Gesner,1543,Stob. MA/Apostol. plerique codd.,
Soph. fr. 945.2,εἰκ-,ἐοικότες,Conrad Gesner,1543,codd.,
Soph. fr. 961,ὑπερπ-,ὑπεκπηδᾷ,Henrik van Herwerden,1855,Stob. 1.3.7,Observ. 129 (diss. Leiden)
